,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line
K562_c30000_s90,0.301,18060,275904525,30000,0,0,321798165,138526626,460324791,cells,90,30000.0,K562
SKNSH_c30000_s46,0.286,30714,494596530,30000,0,0,343711839,137376748,481088587,cells,46,30000.0,SKNSH
MCF7_c30000_s90,0.286,2303,41669915,30000,0,0,381920520,152810046,534730566,cells,90,30000.0,MCF7
SKNSH_c30000_s87,0.285,30714,494074141,30000,0,0,344210689,137400287,481610976,cells,87,30000.0,SKNSH
GM12878_c30000_s89,0.328,246,5945194,30000,0,0,581553603,283341047,864894650,cells,89,30000.0,GM12878
GM12878_c30000_s63,0.328,246,9003056,30000,0,0,579555852,282280936,861836788,cells,63,30000.0,GM12878
SKNSH_c30000_s41,0.285,30714,494175432,30000,0,0,344207333,137302352,481509685,cells,41,30000.0,SKNSH
K562_c30000_s85,0.301,18060,277247667,30000,0,0,320753116,138228533,458981649,cells,85,30000.0,K562
GM12878_c30000_s40,0.328,246,4666165,30000,0,0,582421054,283752625,866173679,cells,40,30000.0,GM12878
SKNSH_c50000_s23,0.285,10714,171347455,50000,0,0,574699693,229637969,804337662,cells,23,50000.0,SKNSH
SKNSH_c50000_s80,0.285,10714,172456827,50000,0,0,574034726,229193564,803228290,cells,80,50000.0,SKNSH
SKNSH_c50000_s79,0.285,10714,170069654,50000,0,0,575746463,229869000,805615463,cells,79,50000.0,SKNSH
SKNSH_c40000_s10,0.286,20714,333545325,40000,0,0,458749364,183390428,642139792,cells,10,40000.0,SKNSH
K562_c40000_s71,0.301,8060,123560376,40000,0,0,428451800,184217140,612668940,cells,71,40000.0,K562
K562_c40000_s7,0.301,8060,123536125,40000,0,0,428380106,184313085,612693191,cells,7,40000.0,K562
SKNSH_c40000_s91,0.285,20714,332486321,40000,0,0,459715335,183483461,643198796,cells,91,40000.0,SKNSH
K562_c40000_s73,0.301,8060,122402990,40000,0,0,429218685,184607641,613826326,cells,73,40000.0,K562
SKNSH_c40000_s70,0.285,20714,334334693,40000,0,0,458300250,183050174,641350424,cells,70,40000.0,SKNSH
GM12878_c1000_s44,0.329,29246,842777745,1000,0,0,18837828,9224271,28062099,cells,44,1000.0,GM12878
MCF7_c1000_s25,0.285,31303,558805724,1000,0,0,12573744,5021013,17594757,cells,25,1000.0,MCF7
GM12878_c1000_s48,0.324,29246,849769252,1000,0,0,14240995,6829597,21070592,cells,48,1000.0,GM12878
K562_c1000_s7,0.301,47060,720667614,1000,0,0,10875110,4686592,15561702,cells,7,1000.0,K562
SKNSH_c1000_s94,0.286,59714,959323840,1000,0,0,11679948,4681329,16361277,cells,94,1000.0,SKNSH
K562_c1000_s52,0.302,47060,720810621,1000,0,0,10764515,4654180,15418695,cells,52,1000.0,K562
HEPG2_c1000_s42,0.286,24043,613017690,1000,0,0,17959466,7176596,25136062,cells,42,1000.0,HEPG2
K562_c1000_s48,0.3,47060,721394658,1000,0,0,10384757,4449901,14834658,cells,48,1000.0,K562
HEPG2_c1000_s81,0.288,24043,612598893,1000,0,0,18205364,7349495,25554859,cells,81,1000.0,HEPG2
GM12878_c1000_s4,0.32,29246,849785087,1000,0,0,14319133,6735624,21054757,cells,4,1000.0,GM12878
SKNSH_c1000_s78,0.284,59714,959423968,1000,0,0,11638686,4622463,16261149,cells,78,1000.0,SKNSH
MCF7_c1000_s99,0.285,31303,558925276,1000,0,0,12500542,4974663,17475205,cells,99,1000.0,MCF7
HEPG2_c1000_s79,0.287,24043,612443435,1000,0,0,18320689,7389628,25710317,cells,79,1000.0,HEPG2
SKNSH_c1000_s42,0.284,59714,959446328,1000,0,0,11622297,4616492,16238789,cells,42,1000.0,SKNSH
MCF7_c1000_s4,0.283,31303,557920383,1000,0,0,13246950,5233148,18480098,cells,4,1000.0,MCF7
SKNSH_c10000_s1,0.285,50714,815347143,10000,0,0,114631592,45706382,160337974,cells,1,10000.0,SKNSH
MCF7_c10000_s56,0.285,22303,398635180,10000,0,0,127025010,50740291,177765301,cells,56,10000.0,MCF7
GM12878_c10000_s90,0.329,20246,584608191,10000,0,0,192109886,94121767,286231653,cells,90,10000.0,GM12878
GM12878_c10000_s14,0.326,20246,577754214,10000,0,0,197517430,95568200,293085630,cells,14,10000.0,GM12878
SKNSH_c10000_s37,0.285,50714,814241964,10000,0,0,115393355,46049798,161443153,cells,37,10000.0,SKNSH
GM12878_c10000_s17,0.327,20246,570287343,10000,0,0,202181455,98371046,300552501,cells,17,10000.0,GM12878
K562_c10000_s76,0.301,38060,583173381,10000,0,0,107010146,46045789,153055935,cells,76,10000.0,K562
K562_c10000_s21,0.3,38060,582654262,10000,0,0,107431339,46143715,153575054,cells,21,10000.0,K562
HEPG2_c10000_s65,0.287,15043,385154589,10000,0,0,180265553,72733610,252999163,cells,65,10000.0,HEPG2
HEPG2_c10000_s5,0.288,15043,382991285,10000,0,0,181735501,73426966,255162467,cells,5,10000.0,HEPG2
SKNSH_c10000_s19,0.285,50714,814308761,10000,0,0,115341634,46034722,161376356,cells,19,10000.0,SKNSH
MCF7_c10000_s84,0.286,22303,395909776,10000,0,0,128918264,51572441,180490705,cells,84,10000.0,MCF7
K562_c10000_s2,0.301,38060,583004565,10000,0,0,107138220,46086531,153224751,cells,2,10000.0,K562
MCF7_c10000_s17,0.286,22303,396740408,10000,0,0,128240348,51419725,179660073,cells,17,10000.0,MCF7
HEPG2_c10000_s46,0.288,15043,383335913,10000,0,0,181415909,73401930,254817839,cells,46,10000.0,HEPG2
MCF7_c5000_s55,0.286,27303,484689494,5000,0,0,65482874,26228113,91710987,cells,55,5000.0,MCF7
GM12878_c5000_s48,0.326,25246,738995114,5000,0,0,88802168,43042562,131844730,cells,48,5000.0,GM12878
GM12878_c5000_s33,0.326,25246,719820541,5000,0,0,101803608,49215695,151019303,cells,33,5000.0,GM12878
SKNSH_c5000_s35,0.286,55714,896490184,5000,0,0,56540885,22654048,79194933,cells,35,5000.0,SKNSH
SKNSH_c5000_s15,0.285,55714,894842211,5000,0,0,57770639,23072267,80842906,cells,15,5000.0,SKNSH
HEPG2_c5000_s39,0.287,20043,511101262,5000,0,0,90598055,36454435,127052490,cells,39,5000.0,HEPG2
SKNSH_c5000_s13,0.286,55714,896017335,5000,0,0,56877014,22790768,79667782,cells,13,5000.0,SKNSH
K562_c5000_s6,0.301,43060,660208999,5000,0,0,53162081,22858236,76020317,cells,6,5000.0,K562
HEPG2_c5000_s73,0.288,20043,511093542,5000,0,0,90474590,36585620,127060210,cells,73,5000.0,HEPG2
MCF7_c5000_s92,0.285,27303,487058845,5000,0,0,63883033,25458603,89341636,cells,92,5000.0,MCF7
K562_c5000_s99,0.302,43060,661284139,5000,0,0,52340251,22604926,74945177,cells,99,5000.0,K562
HEPG2_c5000_s31,0.286,20043,511933451,5000,0,0,90089001,36131300,126220301,cells,31,5000.0,HEPG2
K562_c5000_s63,0.301,43060,658842531,5000,0,0,54070627,23316158,77386785,cells,63,5000.0,K562
GM12878_c5000_s18,0.327,25246,736877431,5000,0,0,90098692,43863721,133962413,cells,18,5000.0,GM12878
MCF7_c5000_s3,0.286,27303,485105702,5000,0,0,65200338,26094441,91294779,cells,3,5000.0,MCF7
K562_c20000_s85,0.301,28060,429536259,20000,0,0,214364473,92328584,306693057,cells,85,20000.0,K562
K562_c20000_s19,0.3,28060,428117165,20000,0,0,215539311,92572840,308112151,cells,19,20000.0,K562
GM12878_c20000_s71,0.329,10246,299504989,20000,0,0,383511469,187823386,571334855,cells,71,20000.0,GM12878
HEPG2_c20000_s92,0.287,5043,126392814,20000,0,0,364704051,147056887,511760938,cells,92,20000.0,HEPG2
MCF7_c20000_s14,0.286,12303,219847108,20000,0,0,254644789,101908584,356553373,cells,14,20000.0,MCF7
SKNSH_c20000_s79,0.285,40714,653193036,20000,0,0,230459169,92032912,322492081,cells,79,20000.0,SKNSH
HEPG2_c20000_s21,0.288,5043,128978964,20000,0,0,362768293,146406495,509174788,cells,21,20000.0,HEPG2
HEPG2_c20000_s20,0.287,5043,129190664,20000,0,0,362669800,146293288,508963088,cells,20,20000.0,HEPG2
SKNSH_c20000_s65,0.285,40714,654080029,20000,0,0,229972330,91632758,321605088,cells,65,20000.0,SKNSH
SKNSH_c20000_s36,0.286,40714,656729670,20000,0,0,227882895,91072552,318955447,cells,36,20000.0,SKNSH
MCF7_c20000_s6,0.286,12303,219922013,20000,0,0,254619002,101859466,356478468,cells,6,20000.0,MCF7
GM12878_c20000_s9,0.328,10246,292937652,20000,0,0,388499591,189402601,577902192,cells,9,20000.0,GM12878
K562_c20000_s97,0.301,28060,428962195,20000,0,0,214902413,92364708,307267121,cells,97,20000.0,K562
GM12878_c20000_s50,0.327,10246,317640377,20000,0,0,372545127,180654340,553199467,cells,50,20000.0,GM12878
MCF7_c20000_s23,0.286,12303,220687277,20000,0,0,254084527,101628677,355713204,cells,23,20000.0,MCF7
HEPG2_c7500_s60,0.287,17543,445614502,7500,0,0,137351139,55188111,192539250,cells,60,7500.0,HEPG2
GM12878_c7500_s55,0.328,22746,643469265,7500,0,0,152886489,74484090,227370579,cells,55,7500.0,GM12878
SKNSH_c7500_s95,0.285,53214,853828098,7500,0,0,87099198,34757821,121857019,cells,95,7500.0,SKNSH
SKNSH_c7500_s15,0.286,53214,854479196,7500,0,0,86577967,34627954,121205921,cells,15,7500.0,SKNSH
HEPG2_c7500_s41,0.287,17543,446450449,7500,0,0,136667852,55035451,191703303,cells,41,7500.0,HEPG2
K562_c7500_s80,0.3,40560,622452208,7500,0,0,79592897,34184211,113777108,cells,80,7500.0,K562
GM12878_c7500_s56,0.328,22746,647880053,7500,0,0,149829454,73130337,222959791,cells,56,7500.0,GM12878
K562_c7500_s50,0.301,40560,621982263,7500,0,0,79881714,34365339,114247053,cells,50,7500.0,K562
MCF7_c7500_s56,0.285,24803,443981360,7500,0,0,94626317,37792804,132419121,cells,56,7500.0,MCF7
HEPG2_c7500_s65,0.288,17543,448813717,7500,0,0,134898902,54441133,189340035,cells,65,7500.0,HEPG2
MCF7_c7500_s62,0.287,24803,442814129,7500,0,0,95279424,38306928,133586352,cells,62,7500.0,MCF7
SKNSH_c7500_s90,0.286,53214,855471732,7500,0,0,85838674,34374711,120213385,cells,90,7500.0,SKNSH
MCF7_c7500_s79,0.285,24803,441200287,7500,0,0,96641740,38558454,135200194,cells,79,7500.0,MCF7
K562_c7500_s44,0.299,40560,622293611,7500,0,0,79849688,34086017,113935705,cells,44,7500.0,K562
GM12878_c7500_s39,0.327,22746,637714670,7500,0,0,156869879,76255295,233125174,cells,39,7500.0,GM12878
